(surplus requirement lowered to 1; a fit passing only the held-out prediction is weaker evidence)
kappa2 (machinery terms 5 <= i <= 40, 36 terms):
  kappa2/raw: no recurrence (R<=6, D<=6, surplus>=1, N=35 fit terms)
  kappa2/a*i!: no recurrence (R<=6, D<=6, surplus>=1, N=35 fit terms)
  kappa2/a/i!: no recurrence (R<=6, D<=6, surplus>=1, N=35 fit terms)
  kappa2/a*2^i: no recurrence (R<=6, D<=6, surplus>=1, N=35 fit terms)
  kappa2/a/2^i: no recurrence (R<=6, D<=6, surplus>=1, N=35 fit terms)
  kappa2/a*(2i+1)!!/4^i: no recurrence (R<=6, D<=6, surplus>=1, N=35 fit terms)
  kappa2/odd-sub: no recurrence (R<=6, D<=6, surplus>=1, N=17 fit terms)
  kappa2/even-sub: no recurrence (R<=6, D<=6, surplus>=1, N=17 fit terms)
  kappa2/partial-sums: no recurrence (R<=6, D<=6, surplus>=1, N=35 fit terms)
diagonal (machinery terms 5 <= i <= 23, 19 terms):
  diagonal/raw: no recurrence (R<=6, D<=6, surplus>=1, N=18 fit terms)
  diagonal/a*i!: no recurrence (R<=6, D<=6, surplus>=1, N=18 fit terms)
  diagonal/a/i!: no recurrence (R<=6, D<=6, surplus>=1, N=18 fit terms)
  diagonal/a*2^i: no recurrence (R<=6, D<=6, surplus>=1, N=18 fit terms)
  diagonal/a/2^i: no recurrence (R<=6, D<=6, surplus>=1, N=18 fit terms)
  diagonal/a*(2i+1)!!/4^i: no recurrence (R<=6, D<=6, surplus>=1, N=18 fit terms)
  diagonal/odd-sub: no recurrence (R<=6, D<=6, surplus>=1, N=9 fit terms)
  diagonal/even-sub: no recurrence (R<=6, D<=6, surplus>=1, N=8 fit terms)
  diagonal/partial-sums: no recurrence (R<=6, D<=6, surplus>=1, N=18 fit terms)
