kappa2 (machinery terms 5 <= i <= 40, 36 terms):
  kappa2/raw: no recurrence (R<=6, D<=6, surplus>=3, N=35 fit terms)
  kappa2/a*i!: no recurrence (R<=6, D<=6, surplus>=3, N=35 fit terms)
  kappa2/a/i!: no recurrence (R<=6, D<=6, surplus>=3, N=35 fit terms)
  kappa2/a*2^i: no recurrence (R<=6, D<=6, surplus>=3, N=35 fit terms)
  kappa2/a/2^i: no recurrence (R<=6, D<=6, surplus>=3, N=35 fit terms)
  kappa2/a*(2i+1)!!/4^i: no recurrence (R<=6, D<=6, surplus>=3, N=35 fit terms)
  kappa2/odd-sub: no recurrence (R<=6, D<=6, surplus>=3, N=17 fit terms)
  kappa2/even-sub: no recurrence (R<=6, D<=6, surplus>=3, N=17 fit terms)
  kappa2/partial-sums: no recurrence (R<=6, D<=6, surplus>=3, N=35 fit terms)
diagonal (machinery terms 5 <= i <= 21, 17 terms):
  diagonal/raw: no recurrence (R<=6, D<=6, surplus>=3, N=16 fit terms)
  diagonal/a*i!: no recurrence (R<=6, D<=6, surplus>=3, N=16 fit terms)
  diagonal/a/i!: no recurrence (R<=6, D<=6, surplus>=3, N=16 fit terms)
  diagonal/a*2^i: no recurrence (R<=6, D<=6, surplus>=3, N=16 fit terms)
  diagonal/a/2^i: no recurrence (R<=6, D<=6, surplus>=3, N=16 fit terms)
  diagonal/a*(2i+1)!!/4^i: no recurrence (R<=6, D<=6, surplus>=3, N=16 fit terms)
  diagonal/odd-sub: no recurrence (R<=6, D<=6, surplus>=3, N=8 fit terms)
  diagonal/even-sub: no recurrence (R<=6, D<=6, surplus>=3, N=7 fit terms)
  diagonal/partial-sums: no recurrence (R<=6, D<=6, surplus>=3, N=16 fit terms)
