zeta N=128 c=     29: lam1 [4.7327499728483351266e-135  mu0 [8.87109202675e-67 hf - [8s]
zeta N=128 c= 465/16: lam1 [2.5194026459958531021e-135  mu0 [6.65922705994e-67 hf [-8.76621884583e-133 +/- [16s]
zeta N=128 c=  233/8: lam1 [1.0017573684835753975e-135  mu0 [4.23878250622e-67 hf [-4.60858262379e-133 +/- [24s]
zeta N=128 c= 467/16: lam1 [6.7782238412855420811e-136  mu0 [3.45764449653e-67 hf [-3.38380367109e-134 +/- [30s]
zeta N=128 c=  117/4: lam1 [5.0304256821641167416e-136  mu0 [3.00743359508e-67 hf [-1.05477145623e-133 +/- [36s]
zeta N=128 c= 469/16: lam1 [3.1974457237650884676e-136  mu0 [2.37135645889e-67 hf [-5.85162228785e-134 +/- [43s]
zeta N=128 c=  235/8: lam1 [2.2713350625593234428e-136  mu0 [2.00432345704e-67 hf [-3.63832458435e-134 +/- [49s]
zeta N=128 c= 471/16: lam1 [1.5560391321800431014e-136  mu0 [1.65948989222e-67 hf [-3.03619101038e-134 +/- [56s]
zeta N=128 c=   59/2: lam1 [1.0010002726709379357e-136  mu0 [1.34663985919e-67 hf [-2.17951608759e-134 +/- [63s]
zeta N=128 c= 473/16: lam1 [5.7505296711920565026e-137  mu0 [1.00842678513e-67 hf [-1.73221369272e-134 +/- [70s]
zeta N=128 c=  237/8: lam1 [2.4693747986369255868e-137  mu0 [6.73490444189e-68 hf [-8.83268668936e-136 +/- [77s]
zeta N=128 c= 475/16: lam1 [2.0561307869809338841e-137  mu0 [6.12031088749e-68 hf [-3.09597265763e-135 +/- [83s]
zeta N=128 c=  119/4: lam1 [1.4714277884392362927e-137  mu0 [5.17191449880e-68 hf [-2.72995298200e-135 +/- [89s]
zeta N=128 c= 477/16: lam1 [9.1903854220677953372e-138  mu0 [4.12312079017e-68 hf [-2.43292614682e-135 +/- [94s]
zeta N=128 c=  239/8: lam1 [5.0038317538783271500e-138  mu0 [3.03506104325e-68 hf [-1.46209864291e-135 +/- [99s]
zeta N=128 c= 479/16: lam1 [3.0169002297637559961e-138  mu0 [2.39518935069e-68 hf [-5.65498907383e-136 +/- [105s]
zeta N=128 c=     30: lam1 [2.1458859214459048511e-138  mu0 [2.03591741730e-68 hf - [108s]
zeta N=128 c= 481/16: lam1 [1.5411298241451032470e-138  mu0 [1.70385892277e-68 hf [-2.53951979358e-136 +/- [114s]
zeta N=128 c=  241/8: lam1 [1.0745145857765549419e-138  mu0 [1.42136577785e-68 hf [-1.97284017743e-136 +/- [119s]
zeta N=128 c= 483/16: lam1 [7.1870217795806176070e-139  mu0 [1.17212653203e-68 hf [-1.47784085746e-136 +/- [125s]
zeta N=128 c=  121/4: lam1 [3.3691488857769843791e-139  mu0 [7.84383790846e-69 hf [-3.44433573205e-136 +/- [131s]
zeta N=128 c= 485/16: lam1 [3.0923265089394751038e-139  mu0 [7.48512432572e-69 hf [-6.61778362445e-137 +/- [136s]
zeta N=128 c=  243/8: lam1 [1.7859621818606465154e-139  mu0 [5.65855109673e-69 hf [-6.76124644670e-137 +/- [142s]
zeta N=128 c= 487/16: lam1 [1.1316848329556555471e-139  mu0 [4.48073935022e-69 hf [-5.88653556796e-139 +/- [147s]
zeta N=128 c=   61/2: lam1 [8.0255572971300239746e-140  mu0 [3.85824914239e-69 hf [-1.70628989404e-137 +/- [152s]
zeta N=128 c= 489/16: lam1 [5.1468345205609788246e-140  mu0 [3.05535343185e-69 hf [-1.11915740247e-137 +/- [157s]
zeta N=128 c=  245/8: lam1 [3.2922283202806957274e-140  mu0 [2.50329887086e-69 hf [-7.27668293291e-138 +/- [163s]
zeta N=128 c= 491/16: lam1 [2.1329749069759701662e-140  mu0 [2.02740185450e-69 hf [-4.23909820737e-138 +/- [168s]
zeta N=128 c=  123/4: lam1 [1.4335707209848977141e-140  mu0 [1.65290441436e-69 hf [-2.88047560291e-138 +/- [173s]
zeta N=128 c= 493/16: lam1 [9.5657829698996244011e-141  mu0 [1.29085760009e-69 hf [-1.81771619315e-138 +/- [179s]
zeta N=128 c=  247/8: lam1 [6.5100294184341162217e-141  mu0 [1.06436101153e-69 hf [-1.21152965574e-138 +/- [184s]
zeta N=128 c= 495/16: lam1 [4.4407068580105934572e-141  mu0 [8.87949733051e-70 hf [-8.66138367973e-139 +/- [190s]
zeta N=128 c=     31: lam1 [2.8557147127067932631e-141  mu0 [6.90922631294e-70 hf - [193s]
zeta N=128 c= 497/16: lam1 [1.2205648461643406535e-141  mu0 [4.71420180588e-70 hf [-2.17507584095e-139 +/- [197s]
zeta N=128 c=  249/8: lam1 [1.0943655252109622948e-141  mu0 [4.45265667699e-70 hf [-2.45260119504e-139 +/- [200s]
zeta N=128 c= 499/16: lam1 [5.1826230560732400650e-142  mu0 [3.08365296908e-70 hf [-3.03806954174e-139 +/- [204s]
zeta N=128 c=  125/4: lam1 [3.8363396390090678645e-142  mu0 [2.65440812582e-70 hf [3.69226500880e-140 +/-  [207s]
zeta N=128 c= 501/16: lam1 [3.2563384014868375153e-142  mu0 [2.39374805011e-70 hf [-5.82575054597e-140 +/- [210s]
zeta N=128 c=  251/8: lam1 [2.1904479604533847620e-142  mu0 [1.93323101855e-70 hf [-4.43066953116e-140 +/- [213s]
zeta N=128 c= 503/16: lam1 [1.4971432232501086310e-142  mu0 [1.58425392060e-70 hf [-2.75174557412e-140 +/- [217s]
zeta N=128 c=   63/2: lam1 [1.0153222529835417059e-142  mu0 [1.34998094871e-70 hf [-2.18973759531e-140 +/- [220s]
zeta N=128 c= 505/16: lam1 [6.4483670445805348984e-143  mu0 [1.08678718298e-70 hf [-1.46951166601e-140 +/- [223s]
zeta N=128 c=  253/8: lam1 [4.2351573657708198690e-143  mu0 [8.98147891993e-71 hf [-4.83656590336e-141 +/- [227s]
zeta N=128 c= 507/16: lam1 [2.9785422613249331341e-143  mu0 [7.45712986220e-71 hf [-5.77558167597e-141 +/- [230s]
zeta N=128 c=  127/4: lam1 [1.9688595899273129940e-143  mu0 [5.98323731075e-71 hf [-4.51837808772e-141 +/- [233s]
zeta N=128 c= 509/16: lam1 [1.1764660808437627183e-143  mu0 [4.63585605085e-71 hf [-3.64457124762e-141 +/- [236s]
zeta N=128 c=  255/8: lam1 [4.3363794431480907763e-144  mu0 [2.80147854693e-71 hf [6.16581068246e-141 +/-  [238s]
zeta N=128 c= 511/16: lam1 [4.6396360464465778506e-144  mu0 [2.89555981803e-71 hf [-5.14851550755e-142 +/- [241s]
zeta N=128 c=     32: lam1 [2.8378122916118652184e-144  mu0 [2.29706572523e-71 hf - [241s]
