BridgeSolution.lean:184:0: 'Zeta23Ext.Palomar.seven_point_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
BridgeSolution.lean:185:0: 'Zeta23Ext.Palomar.seven_point_bound_paper' depends on axioms: [propext, Classical.choice, Quot.sound]
BridgeSolution.lean:186:0: 'Zeta23Ext.Palomar.seven_point_bound_lab' depends on axioms: [propext, Classical.choice, Quot.sound]
BridgeSolution.lean:187:0: 'Zeta23Ext.Palomar.seven_point_bound_lab_ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
FourPoint/Main.lean:206:0: 'Zeta23Ext.Bridge.FourPoint.F4_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
FourPoint/Main.lean:207:0: 'Zeta23Ext.Bridge.FourPoint.cover1' depends on axioms: [propext, Classical.choice, Quot.sound]
FourPoint/Main.lean:208:0: 'Zeta23Ext.Bridge.FourPoint.four_point_cert' depends on axioms: [propext, Classical.choice, Quot.sound]
FourPoint/Main.lean:209:0: 'Zeta23Ext.Bridge.FourPoint.Phi_four' depends on axioms: [propext, Classical.choice, Quot.sound]
FourPoint/Main.lean:210:0: 'Zeta23Ext.Bridge.FourPoint.four_point_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
FourPoint/Main.lean:211:0: 'Zeta23Ext.Bridge.FourPoint.four_point_bound_ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
ThreePoint/Main.lean:2785:0: 'Zeta23Ext.Bridge.ThreePoint.F3_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
ThreePoint/Main.lean:2786:0: 'Zeta23Ext.Bridge.ThreePoint.cover1' depends on axioms: [propext, Classical.choice, Quot.sound]
ThreePoint/Main.lean:2787:0: 'Zeta23Ext.Bridge.ThreePoint.three_point_cert' depends on axioms: [propext, Classical.choice, Quot.sound]
ThreePoint/Main.lean:2788:0: 'Zeta23Ext.Bridge.ThreePoint.Phi_three' depends on axioms: [propext, Classical.choice, Quot.sound]
ThreePoint/Main.lean:2789:0: 'Zeta23Ext.Bridge.ThreePoint.three_point_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
ThreePoint/Main.lean:2790:0: 'Zeta23Ext.Bridge.ThreePoint.three_point_bound_ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
V2Solution.lean:226:0: 'Zeta23Ext.PalomarV2.n_point_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
V2Solution.lean:227:0: 'Zeta23Ext.PalomarV2.eight_point_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
V2Solution.lean:228:0: 'Zeta23Ext.PalomarV2.eight_point_bound_ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
V2Solution.lean:229:0: 'Zeta23Ext.PalomarV2.three_point_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
V2Solution.lean:230:0: 'Zeta23Ext.PalomarV2.three_point_bound_ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
V2Solution.lean:231:0: 'Zeta23Ext.PalomarV2.four_point_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
V2Solution.lean:232:0: 'Zeta23Ext.PalomarV2.four_point_bound_ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Defs.lean:291:0: 'Zeta23Ext.Bridge.pts_eq_ptsN' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Defs.lean:292:0: 'Zeta23Ext.Bridge.F6_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Defs.lean:293:0: 'Zeta23Ext.Bridge.Phi_eq_Phi_n' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Defs.lean:294:0: 'Zeta23Ext.Bridge.abs_sub_le_spanOf' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Defs.lean:295:0: 'Zeta23Ext.Bridge.spanOf_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Defs.lean:296:0: 'Zeta23Ext.Bridge.defect_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Defs.lean:297:0: 'Zeta23Ext.Bridge.blockDefect_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Defs.lean:298:0: 'Zeta23Ext.Bridge.Q'_isHermitian' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Defs.lean:299:0: 'Zeta23Ext.Bridge.P₁_add_Q'' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Defs.lean:300:0: 'Zeta23Ext.Bridge.gram_isHermitian' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Defs.lean:301:0: 'Zeta23Ext.Bridge.gram_posSemidef' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Defs.lean:302:0: 'Zeta23Ext.Bridge.toS₁_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Defs.lean:303:0: 'Zeta23Ext.Bridge.xret_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Helpers_finite.lean:164:0: 'Zeta23Ext.Bridge.abs_kfun_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Helpers_finite.lean:165:0: 'Zeta23Ext.Bridge.wfun_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Helpers_finite.lean:166:0: 'Zeta23Ext.Bridge.ptsN_windowGaps' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Helpers_finite.lean:167:0: 'Zeta23Ext.Bridge.F_windowGaps' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Helpers_finite.lean:168:0: 'Zeta23Ext.Bridge.sum_shift_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Helpers_pinching.lean:314:0: 'Zeta23Ext.Bridge.Psi_convexOn' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Helpers_pinching.lean:315:0: 'Zeta23Ext.Bridge.eigenvalues_submatrix_eq_mix' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Helpers_pinching.lean:316:0: 'Zeta23Ext.Bridge.sum_eigenvalues_submatrix_le' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Helpers_pinching.lean:317:0: 'Zeta23Ext.Bridge.sum_eigenvalues_pinching_le' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Helpers_pinching.lean:318:0: 'Zeta23Ext.Bridge.sum_eigenvalues_submatrix_le_of_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Helpers_pinching.lean:319:0: 'Zeta23Ext.Bridge.rtrace_specMap_pinching_le' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Helpers_pinching.lean:320:0: 'Zeta23Ext.Bridge.rtrace_specMap_submatrix_le' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Helpers_S8.lean:259:0: 'Zeta23Ext.Bridge.seamA_mult2_defect' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Helpers_S8.lean:260:0: 'Zeta23Ext.Bridge.endgame_defect' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:401:0: 'Zeta23Ext.Bridge.F6_eq' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:402:0: 'Zeta23Ext.Bridge.Phi_eq_Phi_n' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:403:0: 'Zeta23Ext.Bridge.solve_linear' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:404:0: 'Zeta23Ext.Bridge.Phi_paper' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:405:0: 'Zeta23Ext.Bridge.Phi_paper'' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:406:0: 'Zeta23Ext.Bridge.eventually_L_pos' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:407:0: 'Zeta23Ext.Bridge.count_defect' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:408:0: 'Zeta23Ext.Bridge.eventually_h7' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:409:0: 'Zeta23Ext.Bridge.block_bound_eventually' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:410:0: 'Zeta23Ext.Bridge.pre_solve' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:411:0: 'Zeta23Ext.Bridge.n_point_bound' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:412:0: 'Zeta23Ext.Bridge.seven_point_bound' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:413:0: 'Zeta23Ext.Bridge.seven_point_bound_paper' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:414:0: 'Zeta23Ext.Bridge.eventually_Ncount_pos' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:415:0: 'Zeta23Ext.Bridge.seven_point_bound_lab' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:416:0: 'Zeta23Ext.Bridge.seven_point_bound_lab_ratio' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:417:0: 'Zeta23Ext.Bridge.Phi_lab8' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:418:0: 'Zeta23Ext.Bridge.eight_point_bound' depends on axioms: [propext, choice, Quot.sound]
